previous_sub_count,last_updated,average_per_second,average_per_minute,average_per_day
242000000,2024-03-02T04:58:38.553Z,1.734157174,104.0494304,149831.1798
243000000,2024-03-05T12:05:03.664Z,3.511420896,210.6852538,303386.7655
244000000,2024-03-09T18:32:16.142Z,2.711261496,162.6756897,234252.9932
245000000,2024-03-15T18:23:16.863Z,1.931023829,115.8614297,166840.4588
246000000,2024-03-20T22:01:45.542Z,2.167657732,130.0594639,187285.628
247000000,2024-03-26T07:51:24.310Z,2.139618677,128.3771206,184863.0537
248000000,2024-03-31T06:07:49.801Z,2.348663845,140.9198307,202924.5562
249000000,2024-04-05T09:29:54.180Z,2.2516234204861707,135.09740522917025,194540.26353000515
250000000,2024-04-07T19:33:53.798Z,4.783796325087663,287.0277795052598,413320.0024875741
251000000,2024-04-11T13:37:58.328Z,3.0840971613969725,185.04582968381834,266465.9947446984
252000000,2024-04-16T13:10:04.132Z,2.323825015976297,139.42950095857782,200778.48138035205
253000000,2024-04-21T18:29:16.126Z,2.216552772796691,132.99316636780148,191510.15956963412
254000000,2024-04-25T15:10:02.169Z,2.9971886370584393,179.83131822350634,258957.09824184916
255000000,2024-04-29T14:55:47.443Z,2.900694716384574,174.04168298307445,250620.0234956272
256000000,2024-05-04T16:25:00.179Z,2.286487771863396,137.18926631180375,197552.5434889974
257000000,2024-05-10T20:26:29.290Z,1.876570454899444,112.59422729396664,162135.68730331195
258000000,2024-05-15T10:46:04.192Z,2.517794512718639,151.06767076311834,217537.4458988904
259000000,2024-05-19T06:53:25.541Z,3.015317814497648,180.91906886985888,260523.45917259678
260000000,2024-05-22T21:25:57.539Z,3.209757663296421,192.58545979778526,277323.06210881076
261000000,2024-05-25T17:07:32.827Z,4.1035068569599575,246.21041141759744,354542.99244134035
262000000,2024-05-28T16:59:51.453Z,3.864958355073724,231.89750130442343,333932.40187836974
263000000,2024-05-29T16:21:35.649Z,11.890465036087562,713.4279021652537,1027336.1791179654
264000000,2024-05-31T03:46:53.045Z,7.843260286435866,470.59561718615197,677657.6887480589
265000000,2024-05-31T22:21:41.660Z,14.950588305649827,897.0352983389896,1291730.829608145
266000000,2024-06-01T17:26:06.978Z,14.564096589088578,873.8457953453146,1258337.945297253
267000000,2024-06-02T03:12:04.406Z,28.444646717487768,1706.678803049266,2457617.476390943
268000000,2024-06-02T12:01:26.950Z,31.486146095717885,1889.168765743073,2720403.0226700255
269000000,2024-06-02T22:42:15.491Z,26.010508245331113,1560.6304947198669,2247307.9123966084
270000000,2024-06-03T12:43:46.414Z,19.80629444037315,1188.377666422389,1711263.8396482402
271000000,2024-06-04T05:23:08.688Z,16.67778519012675,1000.6671114076051,1440960.6404269515
272000000,2024-06-04T23:39:21.934Z,15.204269358835962,912.2561615301577,1313648.8726034272
273000000,2024-06-05T22:41:13.514Z,12.061271257990592,723.6762754794355,1042093.8366903871
274000000,2024-06-07T01:49:35.338Z,10.235414534288639,614.1248720573183,884339.8157625383
275000000,2024-06-08T07:51:38.223Z,9.248897069024519,554.9338241414712,799104.7067637184
276000000,2024-06-09T01:40:04.107Z,15.59965056782728,935.9790340696369,1347809.809060277
277000000,2024-06-09T17:47:49.287Z,17.222671925322494,1033.3603155193496,1488038.8543478635
278000000,2024-06-10T13:58:51.798Z,13.762730525736306,825.7638315441783,1189099.9174236169
279000000,2024-06-11T18:01:19.506Z,9.906286529431577,594.3771917658946,855903.1561428882
280000000,2024-06-13T09:00:31.011Z,7.1250952981496125,427.50571788897673,615608.2337601265
281000000,2024-06-14T12:54:39.695Z,9.955598032773828,597.3358819664297,860163.6700316587
282000000,2024-06-15T14:37:20.999Z,10.803919662053392,648.2351797232035,933458.6588
283000000,2024-06-16T13:57:10.205Z,11.906604593568051,714.3962756,1028730.6368842797
284000000,2024-06-17T19:24:05.936Z,9.432805410657183,565.9683246,814994.3874807806
285000000,2024-06-19T05:48:58.973Z,8.071611336,484.2966801462576,697387.2194
285610000,2024-06-19T23:48:58.973Z,8.071611336,484.2966801462576,697387.2194